,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
0,Cris d'Aveugle,Diamanda Galás,Pop/Rock,Diamanda Galás,1986,2,0,3.0
1,I Put A Spell On You,Diamanda Galás,Brash,Screamin' Jay Hawkins,1992,1,138,2.5
2,Birds of Death,Diamanda Galás,Brooding,Diamanda Galás,1988,1,0,3.5
3,Imaginary Landscape No. 1,John Cage,Avant-Garde,John Cage,1999,1,1,4.0
4,All Is Full of Love,Björk ,Electronic,Björk,2005,1,15,3.0
5,Some Clouds Do,Fred Frith,Pop/Rock,Fred Frith,1983,2,0,3.5
6,Some Clouds Don't,Fred Frith,Pop/Rock,Fred Frith,1983,2,0,3.5
7,Same Old Me,Fred Frith,Pop/Rock,Fred Frith,1983,2,0,3.5
8,Cap the Knife,Fred Frith,Pop/Rock,Fred Frith,1983,2,0,3.5
9,Staccato's Theme,Elmer Bernstein,Easy Listening,Elmer Bernstein,1959,8,1,2.875
10,Great Escape (Main Title),Elmer Bernstein ,Stage & Screen,Elmer Bernstein,1963,2,0,4.0
11,Discovery,Elmer Bernstein,Stage & Screen,Elmer Bernstein,1963,2,1,4.5
12,Man With the Golden Arm (Main Title),Elmer Bernstein,Easy Listening,Elmer Bernstein,1999,1,3,2.5
13,"Great Escape, film score~The Chase",Elmer Bernstein,Classical,Elmer Bernstein,1963,1,0,4.5
14,"Great Escape, film score~Main Title",Elmer Bernstein,Classical,Elmer Bernstein,1963,1,1,4.5
15,"Great Escape, film score~Discovery",Elmer Bernstein,Classical,Elmer Bernstein,1963,1,0,4.5
16,"Magnificent Seven, film score~Theme",Elmer Bernstein,Classical,Elmer Bernstein,1999,1,6,3.5
17,Citizen Kane~Suite/Prelude/The Inquirer (Polka) /Fenale/End Cast,Elmer Bernstein ,Elaborate,Bernard Herrmann,1993,1,0,4.0
18,Frankie Machine,Elmer Bernstein ,Romantic,Elmer Bernstein,1997,1,2,3.5
19,Stairway to Heaven,Led Zeppelin,Pop/Rock,Jimmy Page,1969,17,122,3.590909090909091
20,Whole Lotta Love,Led Zeppelin,Blues,John Bonham,1969,19,55,3.5
21,Black Dog,Led Zeppelin,Pop/Rock,John Paul Jones,1969,16,47,3.55
22,Rock and Roll,Led Zeppelin,Pop/Rock,John Bonham,1969,14,32,3.25
23,Since I've Been Loving You,Led Zeppelin,Blues,John Paul Jones,1970,13,9,3.55
24,Immigrant Song,Led Zeppelin,Pop/Rock,Jimmy Page,1970,19,59,3.4166666666666665
25,Dazed and Confused,Led Zeppelin,Pop/Rock,Jimmy Page,1970,14,20,3.375
26,Kashmir,Led Zeppelin,Pop/Rock,John Bonham,1975,15,64,3.5
27,Trampled Under Foot,Led Zeppelin,Pop/Rock,John Paul Jones,1975,11,5,3.5
28,Song Remains the Same,Led Zeppelin,Pop/Rock,Jimmy Page,1973,10,5,3.4375
29,What Is and What Should Never Be,Led Zeppelin,Pop/Rock,Jimmy Page,1969,15,16,3.6666666666666665
30,Over the Hills and Far Away,Led Zeppelin,Pop/Rock,Jimmy Page,1973,8,10,3.6
31,No Quarter,Led Zeppelin,Pop/Rock,John Paul Jones,1973,10,25,3.4375
32,Misty Mountain Hop,Led Zeppelin,Pop/Rock,John Paul Jones,1969,13,10,3.5
33,Heartbreaker,Led Zeppelin,Blues,John Bonham,1969,8,13,3.4166666666666665
34,Going to California,Led Zeppelin,Pop/Rock,Jimmy Page,1969,11,39,3.7142857142857135
35,Rain Song,Led Zeppelin,Pop/Rock,Jimmy Page,1973,7,16,3.3
36,Nobody's Fault But Mine,Led Zeppelin,Pop/Rock,Jimmy Page,1976,10,13,3.333333333333333
37,All My Love,Led Zeppelin,Pop/Rock,John Paul Jones,1979,10,5,3.25
38,That's the Way,Led Zeppelin,Pop/Rock,Jimmy Page,1970,10,6,3.642857142857143
39,Communication Breakdown,Led Zeppelin,Blues,John Bonham,1970,10,22,3.5
40,I Can't Quit You Baby,Led Zeppelin,Pop/Rock,Willie Dixon,1969,11,37,3.5
41,Achilles Last Stand,Led Zeppelin,Pop/Rock,Jimmy Page,1976,10,2,3.333333333333333
42,D'yer Mak'er,Led Zeppelin,Pop/Rock,John Bonham,1973,8,18,3.4166666666666665
43,Good Times Bad Times,Led Zeppelin,Pop/Rock,John Bonham,1990,11,8,3.3125
44,Someone to Watch over Me,George Gershwin,Jazz,George Gershwin,1927,15,645,2.583333333333333
45,"Rhapsody in Blue, for piano",George Gershwin,Classical,George Gershwin,1992,6,9,2.5
46,My One and Only,George Gershwin,Vocal,George Gershwin,1988,6,34,2.333333333333333
47,Fascinating Rhythm,George Gershwin,Vocal,George Gershwin,1994,5,255,2.1666666666666665
48,But Not For Me,George Gershwin,Vocal,George Gershwin,1994,4,519,2.0
49,"Half of It, Dearie, Blues",Fred Astaire ,Vocal,George Gershwin,1990,4,12,2.0
50,"Rhapsody in Blue, for piano & orchestra (orchestrated by F. Grofé)",George Gershwin ,Vocal,George Gershwin,1996,3,38,2.5
51,American in Paris,George Gershwin ,Vocal,George Gershwin,1999,3,43,3.5
52,"My One and Only, song (from Funny Face, musical)",George Gershwin,Classical,George Gershwin,1998,2,4,2.5
53,Only the Strong Survive,Jerry Butler,R&B,Jerry Butler,1969,83,14,2.61
54,He Will Break Your Heart,Jerry Butler,R&B,Jerry Butler,1960,76,20,2.588235294117647
55,Moon River,Jerry Butler,Vocal,Henry Mancini,1961,50,601,2.59375
56,Make It Easy on Yourself,Jerry Butler,R&B,Burt Bacharach,1963,44,61,2.7205882352941178
57,"Hey, Western Union Man",Jerry Butler,R&B,Jerry Butler,1968,32,12,3.025
58,Find Another Girl,Jerry Butler,R&B,Jerry Butler,1961,21,5,2.9375
59,Need to Belong,Jerry Butler,R&B,Curtis Mayfield,1961,19,7,3.117647058823529
60,Never Give You Up,Jerry Butler,R&B,Jerry Butler,1968,18,2,3.1875
61,I'm a Telling You,Jerry Butler,R&B,Jerry Butler,1960,17,0,3.0
62,Giving Up on Love,Jerry Butler,R&B,B. Feldman,1964,9,4,3.1875
63,I Don't Want to Hear It Anymore,Jerry Butler ,R&B,Randy Newman,1980,9,12,3.5
64,Silent Night,Swan Silvertones,Rousing,Franz Gruber,1993,12,1642,2.2
65,I Stand Accused,Jerry Butler,R&B,Jerry Butler,1962,9,9,3.0
66,What Ever You Want,Jerry Butler,Pop/Rock,Bob Gaudio,1963,3,0,3.6666666666666665
67,Ain't Understanding Mellow,Jerry Butler ,R&B,Jerry Butler,1999,4,3,3.5
68,Power of Love/Love Power,Luther Vandross,R&B,Marcus Miller,1991,35,2,2.7857142857142856
69,Stop to Love,Luther Vandross,Pop/Rock,"Nat Adderley, Jr.",1986,33,1,2.833333333333333
70,Here and Now,Luther Vandross,R&B,David Elliot,1989,13,0,2.9545454545454546
71,Dance With My Father,Luther Vandross,Pop/Rock,Richard Marx,2003,10,19,3.0
72,Give Me the Reason,Luther Vandross,Pop/Rock,"Nat Adderley, Jr.",1985,19,3,3.25
73,Don't Want to Be a Fool,Luther Vandross,R&B,Marcus Miller,1991,20,2,2.9
